phrase1,phrase2,sentence1,sentence2,label,idx
continuous pressure,ongoing stress,Family members extensively participated in the fights against the Ottomans and due to continuous pressure steadily migrated North of the river Kupa.,Family members extensively participated in the fights against the Ottomans and due to ongoing stress steadily migrated North of the river Kupa.,1,1648
quality production,a superior artistic showing,"""Variety"" wrote ""this is quality production...[Goulder's] screenplay is taut, economic and natural in dialog and his direction is unfussy and alert.""","""Variety"" wrote ""this is a superior artistic showing...[Goulder's] screenplay is taut, economic and natural in dialog and his direction is unfussy and alert.""",1,1636
correct information,accurate data,"The result of test will be:
 Hash
 includes key
 hashes the correct information in a key
The Three Amigos.","The result of test will be:
 Hash
 includes key
 hashes the accurate data in a key
The Three Amigos.",1,1885
closed position,shut placement,A thumb-operated cam latch at the rear of the breechblock held it shut when in closed position.,A thumb-operated cam latch at the rear of the breechblock held it shut when in shut placement.,1,1410
half the weight,two quarters the load,"Gribeauval made both the barrels and the carriages lighter, so that his cannons were about half the weight of the Vallière guns.","Gribeauval made both the barrels and the carriages lighter, so that his cannons were about two quarters the load of the Vallière guns.",1,1409
rough shape,approximate form,"A semicircular stairwell projects from one sidewall, and a bowed porch from the other, giving the house the rough shape of a parallelogram.","A semicircular stairwell projects from one sidewall, and a bowed porch from the other, giving the house the approximate form of a parallelogram.",1,1533
even the opening,"as it happens, the first move","In the rest of the country, even the opening was dismal and it never picked up.","In the rest of the country, as it happens, the first move was dismal and it never picked up.",0,1291
longest leg,most extensive portion,"For them scripture is the longest leg of a 3-legged stool: scripture, tradition and reason.","For them scripture is the most extensive portion of a 3-legged stool: scripture, tradition and reason.",0,1808
upper cap,maximum amount,"As a result, the contractor is allowed to both design and build the project with no upper cap on its cost.","As a result, the contractor is allowed to both design and build the project with no maximum amount on its cost.",1,441
big club,large weapon,"Immediately, the light-keeper runs back up the stairs and pummels Sylvester with not his Shillelagh but a big club.","Immediately, the light-keeper runs back up the stairs and pummels Sylvester with not his Shillelagh but a large weapon.",1,1520
one significant development,a singular noteworthy structure,one significant development within modern western magical practices has been sex magic.,a singular noteworthy structure within modern western magical practices has been sex magic.,0,1136
entire service,organization active period,"It spent its entire service in the defenses of Washington, D.C., and was mustered out on June 10, 1863.","It spent its organization active period in the defenses of Washington, D.C., and was mustered out on June 10, 1863.",1,1715
best match,most related pairing,"SDM can be applied to the problem of finding the ""best match"" to a test word in a dataset of stored words.","SDM can be applied to the problem of finding the ""most related pairing"" to a test word in a dataset of stored words.",1,1256
